id,year,mode,language,dincome,zipcode,district,region,,,,,
200912769,2009,1,2,2,88888,,,2009,88888,,2,1
200912489,2009,1,2,3,88888,9,3,,,,,
200912502,2009,1,2,3,88888,9,3,,,,,
200912360,2009,1,1,3,88888,,,2009,88888,,3,3
200912331,2009,1,1,4,88888,1,4,,,,,
200912034,2009,1,1,4,88888,11,3,2009,88888,11,4,2
200912404,2009,1,1,5,88888,8,1,2009,88888,8,5,1
200912460,2009,1,1,,88888,1,4,2009,88888,1,  ,1
200921215,2009,2,1,1,94102,5,1,,,,,
200912076,2009,1,1,1,94102,6,1,,,,,
200912215,2009,1,1,1,94102,6,1,,,,,
200912380,2009,1,1,1,94102,6,1,,,,,
200912576,2009,1,1,1,94102,6,1,,,,,
200920156,2009,2,1,1,94102,6,1,,,,,
200920181,2009,2,1,1,94102,6,1,,,,,
200920282,2009,2,1,1,94102,6,1,,,,,
200920510,2009,2,1,1,94102,6,1,,,,,
200920511,2009,2,1,1,94102,6,1,,,,,
200920512,2009,2,1,1,94102,6,1,,,,,
200920623,2009,2,1,1,94102,6,1,,,,,
200920639,2009,2,1,1,94102,6,1,,,,,
200920919,2009,2,1,1,94102,6,1,,,,,
200920948,2009,2,1,1,94102,6,1,,,,,
200920982,2009,2,1,1,94102,6,1,,,,,
200921073,2009,2,1,1,94102,6,1,,,,,
200921225,2009,2,1,1,94102,6,1,,,,,
200921275,2009,2,1,1,94102,6,1,,,,,
200921277,2009,2,1,1,94102,6,1,,,,,
200921288,2009,2,1,1,94102,6,1,,,,,
200921339,2009,2,1,1,94102,6,1,,,,,
200920017,2009,2,1,1,94102,8,1,2009,94102,8,1,23
200912027,2009,1,1,2,94102,3,2,,,,,
200920001,2009,2,1,2,94102,5,1,,,,,
200920344,2009,2,1,2,94102,5,1,,,,,
200921128,2009,2,1,2,94102,5,1,,,,,
200912109,2009,1,1,2,94102,6,1,,,,,
200912282,2009,1,1,2,94102,6,1,,,,,
200912295,2009,1,1,2,94102,6,1,,,,,
200912473,2009,1,1,2,94102,6,1,,,,,
200912506,2009,1,1,2,94102,6,1,,,,,
200920061,2009,2,1,2,94102,6,1,,,,,
200920064,2009,2,1,2,94102,6,1,,,,,
200920152,2009,2,1,2,94102,6,1,,,,,
200920563,2009,2,1,2,94102,6,1,,,,,
200920634,2009,2,1,2,94102,6,1,,,,,
200920881,2009,2,1,2,94102,6,1,,,,,
200920942,2009,2,1,2,94102,6,1,,,,,
200920983,2009,2,1,2,94102,6,1,,,,,
200921119,2009,2,1,2,94102,6,1,,,,,
200921164,2009,2,1,2,94102,6,1,,,,,
200921211,2009,2,1,2,94102,6,1,,,,,
200920360,2009,2,1,2,94102,8,1,,,,,
200920625,2009,2,1,2,94102,8,1,,,,,
200921732,2009,2,1,3,94102,3,2,,,,,
200920094,2009,2,1,3,94102,5,1,,,,,
200920514,2009,2,1,3,94102,5,1,,,,,
200920847,2009,2,1,3,94102,5,1,,,,,
200921124,2009,2,1,3,94102,5,1,,,,,
200912426,2009,1,1,3,94102,6,1,,,,,
200912461,2009,1,1,3,94102,6,1,,,,,
200912517,2009,1,1,3,94102,6,1,,,,,
200912595,2009,1,1,3,94102,6,1,,,,,
200912614,2009,1,1,3,94102,6,1,,,,,
200912660,2009,1,2,3,94102,6,1,,,,,
200920053,2009,2,1,3,94102,6,1,,,,,
200920081,2009,2,1,3,94102,6,1,,,,,
200920163,2009,2,1,3,94102,6,1,,,,,
200920802,2009,2,1,3,94102,6,1,,,,,
200920815,2009,2,1,3,94102,6,1,,,,,
200920862,2009,2,1,3,94102,6,1,,,,,
200921009,2009,2,1,3,94102,6,1,,,,,
200921083,2009,2,1,3,94102,6,1,,,,,
200921115,2009,2,1,3,94102,6,1,,,,,
200921133,2009,2,1,3,94102,6,1,,,,,
200921167,2009,2,1,3,94102,6,1,,,,,
200921234,2009,2,1,3,94102,6,1,,,,,
200921352,2009,2,1,3,94102,6,1,,,,,
200921370,2009,2,1,3,94102,6,1,,,,,
200921386,2009,2,1,3,94102,6,1,,,,,
200921480,2009,2,1,3,94102,6,1,,,,,
200921554,2009,2,1,3,94102,6,1,,,,,
200921642,2009,2,1,3,94102,6,1,,,,,
200912050,2009,1,1,3,94102,8,1,,,,,
200920738,2009,2,1,3,94102,8,1,,,,,
200920012,2009,2,1,4,94102,3,2,,,,,
200931824,2009,3,1,4,94102,3,2,,,,,
200920060,2009,2,1,4,94102,5,1,,,,,
200920092,2009,2,1,4,94102,5,1,,,,,
200920776,2009,2,1,4,94102,5,1,,,,,
200920780,2009,2,1,4,94102,5,1,,,,,
200920895,2009,2,1,4,94102,5,1,,,,,
200921268,2009,2,1,4,94102,5,1,,,,,
200920046,2009,2,1,4,94102,6,1,,,,,
200920327,2009,2,1,4,94102,6,1,,,,,
200920405,2009,2,1,4,94102,6,1,,,,,
200920423,2009,2,1,4,94102,6,1,,,,,
200920463,2009,2,1,4,94102,6,1,,,,,
200920522,2009,2,1,4,94102,6,1,,,,,
200920954,2009,2,1,4,94102,6,1,,,,,
200920959,2009,2,1,4,94102,6,1,,,,,
200921545,2009,2,1,4,94102,6,1,,,,,
200921193,2009,2,1,4,94102,8,1,,,,,
200921195,2009,2,1,4,94102,8,1,,,,,
200912386,2009,1,1,4,94102,,,,,,,
200912363,2009,1,1,5,94102,3,2,,,,,
200920222,2009,2,1,5,94102,5,1,,,,,
200920508,2009,2,1,5,94102,5,1,,,,,
200921647,2009,2,1,5,94102,5,1,,,,,
200931822,2009,3,1,5,94102,5,1,,,,,
200931823,2009,3,1,5,94102,5,1,,,,,
200920035,2009,2,1,5,94102,6,1,,,,,
200920050,2009,2,1,5,94102,6,1,,,,,
200920361,2009,2,1,5,94102,6,1,,,,,
200920462,2009,2,1,5,94102,6,1,,,,,
200920580,2009,2,1,5,94102,6,1,,,,,
200920636,2009,2,1,5,94102,6,1,,,,,
200920768,2009,2,1,5,94102,6,1,,,,,
200920795,2009,2,1,5,94102,6,1,,,,,
200921022,2009,2,1,5,94102,6,1,,,,,
200921114,2009,2,1,5,94102,6,1,,,,,
200921457,2009,2,1,5,94102,6,1,,,,,
200920349,2009,2,1,5,94102,8,1,,,,,
200921419,2009,2,1,5,94102,8,1,,,,,
200921187,2009,2,1,,94102,5,1,,,,,
200911997,2009,1,1,,94102,6,1,,,,,
200912075,2009,1,1,,94102,6,1,,,,,
200912446,2009,1,1,,94102,6,1,,,,,
200920031,2009,2,1,,94102,6,1,,,,,
200920212,2009,2,1,,94102,6,1,,,,,
200921213,2009,2,1,,94102,6,1,,,,,
200921282,2009,2,1,,94102,6,1,,,,,
200921310,2009,2,1,,94102,6,1,,,,,
200921413,2009,2,1,,94102,6,1,,,,,
200921423,2009,2,1,,94102,6,1,,,,,
200921429,2009,2,1,,94102,6,1,,,,,
200921535,2009,2,1,,94102,6,1,,,,,
200921700,2009,2,1,,94102,6,1,,,,,
200921664,2009,2,1,,94102,8,1,,,,,
200912453,2009,1,1,,94102,,,,,,,
200912684,2009,1,1,1,94103,6,1,,,,,
200912685,2009,1,1,1,94103,6,1,,,,,
200920070,2009,2,1,1,94103,6,1,,,,,
200920165,2009,2,1,1,94103,6,1,,,,,
200920195,2009,2,1,1,94103,6,1,,,,,
200920626,2009,2,1,1,94103,6,1,,,,,
200920732,2009,2,1,1,94103,6,1,,,,,
200920923,2009,2,1,1,94103,6,1,,,,,
200921214,2009,2,1,1,94103,6,1,,,,,
200921217,2009,2,1,1,94103,6,1,,,,,
200921220,2009,2,1,1,94103,6,1,,,,,
200921279,2009,2,1,1,94103,6,1,,,,,
200921321,2009,2,1,1,94103,6,1,,,,,
200921322,2009,2,1,1,94103,6,1,,,,,
